Zadanie;Instrument;Pomieszczenie;Pozycja;Typ;Typ_kod;ODG
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Ref vs Ref (sanity);ref_ref;0.1832
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;-2.5780
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;-2.5843
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;-3.4114
2;Gitara klasyczna;Sala 123;Prawe ucho;Ref vs Ref (sanity);ref_ref;0.2063
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 48 kHz;aur48;-3.6339
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 24 kHz;aur24;-3.6349
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 12 kHz;aur12;-3.7575
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Ref vs Ref (sanity);ref_ref;0.1778
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;-3.6204
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;-3.6062
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;-3.8497
4;Kontrabas palcami;Studio;Na wprost;Ref vs Ref (sanity);ref_ref;0.2142
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 48 kHz;aur48;-3.6886
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 24 kHz;aur24;-3.6770
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 12 kHz;aur12;-3.7693
5;Kontrabas smyczkiem;Studio;Lewe ucho;Ref vs Ref (sanity);ref_ref;0.1993
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;-3.5887
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;-3.5885
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;-3.5889
6;Wiolonczela;Korytarz ZEA;Na wprost;Ref vs Ref (sanity);ref_ref;0.1837
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;-3.3276
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;-3.0590
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;-3.8124
7;Wiolonczela;Sala 123;Oddalone;Ref vs Ref (sanity);ref_ref;0.2069
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 48 kHz;aur48;-3.8257
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 24 kHz;aur24;-3.8210
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 12 kHz;aur12;-3.7981
8;Flet;Studio;Lewe ucho;Ref vs Ref (sanity);ref_ref;0.1917
8;Flet;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;-3.8724
8;Flet;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;-3.8711
8;Flet;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;-3.8284
9;Saksofon;Studio;Lewe ucho;Ref vs Ref (sanity);ref_ref;0.1910
9;Saksofon;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;-3.7713
9;Saksofon;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;-3.7746
9;Saksofon;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;-3.7862
10;Akordeon;Korytarz ZEA;Oddalone;Ref vs Ref (sanity);ref_ref;0.1972
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 48 kHz;aur48;-3.5022
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 24 kHz;aur24;-3.4780
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 12 kHz;aur12;-3.6650
