task_id;instrument;pomieszczenie;pozycja;typ;typ_kod;ODG;DI
1;Gitara klasyczna;Korytarz ZEA;Na wprost;aur48 vs aur48 (sanity);aur48_sanity;;
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;;
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;;
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 8 kHz;aur8;;
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 4 kHz;aur4;;
2;Gitara klasyczna;Sala 123;Prawe ucho;aur48 vs aur48 (sanity);aur48_sanity;;
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 24 kHz;aur24;;
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 12 kHz;aur12;;
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 8 kHz;aur8;;
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 4 kHz;aur4;;
3;Kontrabas palcami;Korytarz ZEA;Na wprost;aur48 vs aur48 (sanity);aur48_sanity;;
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;;
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;;
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 8 kHz;aur8;;
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 4 kHz;aur4;;
4;Kontrabas palcami;Studio;Na wprost;aur48 vs aur48 (sanity);aur48_sanity;;
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 24 kHz;aur24;;
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 12 kHz;aur12;;
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 8 kHz;aur8;;
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 4 kHz;aur4;;
5;Kontrabas smyczkiem;Studio;Lewe ucho;aur48 vs aur48 (sanity);aur48_sanity;;
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;;
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;;
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 8 kHz;aur8;;
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 4 kHz;aur4;;
6;Wiolonczela;Korytarz ZEA;Na wprost;aur48 vs aur48 (sanity);aur48_sanity;;
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;;
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;;
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 8 kHz;aur8;;
6;Wiolonczela;Korytarz ZEA;Na wprost;Auralizacja 4 kHz;aur4;;
7;Wiolonczela;Sala 123;Oddalone;aur48 vs aur48 (sanity);aur48_sanity;;
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 24 kHz;aur24;;
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 12 kHz;aur12;;
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 8 kHz;aur8;;
7;Wiolonczela;Sala 123;Oddalone;Auralizacja 4 kHz;aur4;;
8;Flet;Studio;Lewe ucho;aur48 vs aur48 (sanity);aur48_sanity;;
8;Flet;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;;
8;Flet;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;;
8;Flet;Studio;Lewe ucho;Auralizacja 8 kHz;aur8;;
8;Flet;Studio;Lewe ucho;Auralizacja 4 kHz;aur4;;
9;Saksofon;Studio;Lewe ucho;aur48 vs aur48 (sanity);aur48_sanity;;
9;Saksofon;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;;
9;Saksofon;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;;
9;Saksofon;Studio;Lewe ucho;Auralizacja 8 kHz;aur8;;
9;Saksofon;Studio;Lewe ucho;Auralizacja 4 kHz;aur4;;
10;Akordeon;Korytarz ZEA;Oddalone;aur48 vs aur48 (sanity);aur48_sanity;;
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 24 kHz;aur24;;
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 12 kHz;aur12;;
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 8 kHz;aur8;;
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 4 kHz;aur4;;
